Text,Label
"thoải mái , nhưng hồ bơi bị nghỉ quá buồn",2
Trải nghiệm khách sạn đẳng cấp nhưng phục vụ chưa tới tầm,2
"View đẹp, sạch sẽ nhưng nhân viên không tốt.",2
Vừa thích vừa chưa ưng,2
Tiện nghi ổn nhưng giá hơi đắt,2
đi nghỉ nhưng không nghỉ được,2
"Buffet trưa, tạm ổn, 6/10. Tráng miệng ngon, món mặn quá ít.",2
Bungalow đẹp nhưng không có sự riêng tư,2
Ăn sáng cùng với gia đình,3
Ăn sáng tầng 19,3
Ăn tại nhà hàng lần đầu,3
Ăn tối cùng gia đình,3
Ăn trưa buffet,3
Ăn trưa cùng đồng nghiệp,3
Ăn trưa cùng gia đình,3
Ăn trưa ngày cuối tuần cùng gia đình,3
ăn trưa tại nhà hàng,3
Ăn trưa với các anh chị em đồng nghiệp,3
Ăn uống cùng công ty,3
Ăn uống khám phá,3
Ăn uống vào ngày bình thường,3
Bạn bè nghỉ dưỡng,3
Bể bơi lúc hoàng hôn,3
bình thường,3
Bình thường,3
Bốn bể là nhà,3
Buffet cuối tuần,3
Buffet hải sản,3
"Buffet hải sản tầng 1, hồ bơi, sảnh",3
Buffet sáng,3
Buffet tối với bạn bè,3
Buffet tối với cả nhà,3
Buffet trưa cùng gia đình,3
Buổi dùng bữa gặp mặt cùng bạn tôi,3
Buổi họp mặt cuối năm thuận lợi,3
Buổi họp mặt gia đình,3
Buổi họp mặt tại buffet hải sản,3
Buổi sinh nhật đáng nhớ,3
Buổi sinh nhật vui vẻ,3
Buổi tiệc rất ấn tượng,5
Buổi tối ấm cúng buffet hải sản,3
Buổi tối buffet ngoài trời,3
Buổi tối cùng bạn bè và gia đình,3
Buổi tối cùng gia đình,3
Buổi tối đáng nhớ tại buffet hải sản,3
Buổi tối đáng tiền,4
buổi tối lãng mạn,4
Buổi tối lãng mạn cùng người yêu,3
Buổi tối với khách sạn,3
Buổi tối vui vẻ cùng con trai,3
Buổi tối vui vẻ cùng gia đình,3
Buổi trưa cùng bạn bè,3
Buổi trưa cùng gia đình,3
Buổi trưa cùng với bạn,3
Buổi trưa vui vẻ bên gia đình tại lavela,3
Buổi trưa vui vẻ tại La Vela,4
Buổi trưa vui vẻ tại nhà hàng mermaid lavela,4
Bữa ăn ấm cúng cùng gia đình tại lavela,4
Bữa ăn ấm cúng vui vẻ cùng gia đình,3
Bữa ăn cuối tuần,3
Bữa ăn gia đình,3
Bữa ăn gia đình tại khách sạn,3
Bữa gặp mặt bạn bè,3
Bữa họp mặt ý nghĩa,3
Bữa sáng cuối tuần,3
Bữa tối buffet,3
Bữa tối cùng gia đình,3
Bữa tối cùng mọi người ở Mermaid,3
Bữa tối cuối năm,3
Bữa tối cuối tuần,3
Bữa tối cuối tuần với gia đình,3
Bữa tối đầu tuần,3
Bữa tối hải sản nhà hàng nàng tiên cá,3
Bữa tối sang trọng phù hợp mời đối tác,3
Bữa tối tại khách sạn 5 sao,3
"Bữa tối thú vị, lãng mạn",3
Bữa tối với chồng yêu,3
Bữa tối với gia đình,3
Bữa tối vui vẻ,3
Bữa trưa cùng gia đình tôi,3
Bữa trưa cùng hội chị em thân ai nấy lo,3
Bữa trưa cuối tuần gặp mặt bạn bè,3
Bữa trưa nhân dịp đặc biệt,3
Bữa trưa tự chọn cùng gia đình tôi,3
Cách âm phòng tạm ổn,3
cảm nghĩ về vinpearl,3
Cảm nhận chuyến đi 3 ngày 2 đêm ở resort Amiana,3
Cảm nhận của chúng tôi về bạn,3
Cảm nhận của khách hàng,3
Cảm nhận đầu năm,3
Cảm nhận đồ ăn,3
Cảm nhận khi nghỉ dưỡng tại Havana,3
Cảm nhận khi ở Vinpearl Nha Trang Bay,3
Cảm nhận sự yên bình,3
Cảm nhận tại nhà hàng La Vela Sài gòn.,3
Cảm nhận về khách sạn,3
Cảm nhận về nhà hàng và spa khu nghỉ dưỡng Vinpearl Hạ Long,3
Cảm xúc của tôi về Amiana!,3
Dịch vụ khách sạn,3
Dùng Cocktail trên tầng thượng,3
Đánh giá chất lượng,3
Đánh giá chất lượng dịch vụ,3
đánh giá chất lượng khách sạn,3
"Đánh giá chất lượng phục vụ, chăm sóc khách hàng",3
Đánh giá chất lượng Vinpearl,3
Đánh giá cho lần trải nghiệm dịch vụ tại khách sạn,3
Đánh giá chung khu nghỉ dưỡng,3
Đánh giá chung về khách sạn,3
Đánh giá dịch vụ,3
Đánh giá dịch vụ khách sạn,3
đánh giá dịch vụ spa,3
Đánh giá đồ ăn tại nhà hàng,3
đánh giá khách sạn havana,3
"đánh giá khách sạn vinpearl hạ long , phòng ốc , dịch vụ chăm sóc khách hàng , phòng gym, bể bơi , pool bar vân vân vân vân",3
Đánh giá kỳ du lịch,3
Đánh giá kỳ nghỉ Vinpearland Nha Trang,3
Đánh giá Mermaid ngày đi ăn cùng đối tác,3
đánh giá một chút về Vinpearl Nha Trang Bay,3
Đánh giá mức độ hài lòng,3
Đánh giá mức độ phục vụ,3
Đánh giá nhân viên,3
Đánh giá phản hồi,3
Đánh giá phòng và dịch vụ tiện ích của khách sạn,3
Đánh giá phục vụ,3
đánh giá sau khi ở,3
Đánh giá sự hài lòng,3
đánh giá thức ăn,3
Đánh giá tiệc Buffet trưa,3
Đánh giá tốt,3
Đánh giá trải nghiệm,3
Đánh giá trải nghiệm của khách sạn,3
Đánh giá trải nghiệm du lịch ở resort,3
"Đánh giá trải nghiệm lặn ngắm san hô, ngắm cá, team building",3
Đánh giá tuyệt vời,5
Đánh giá về bữa ăn,3
Đánh giá về chất lượng dịch vụ,3
Đánh giá về khách sạn Landmark 81,3
Đánh giá về trải nghiệm tại khách sạn,3
Đắt nhưng chất lượng.,4
Đầu tuần có nhiều niềm vui,3
Đầu tuần vui vẻ tại khách sạn,3
Đẹp và yên tĩnh nhưng chất lượng dịch vụ chưa tốt,2
Đi 1 lần cho biết.,3
Đi ăn cùng các bạn già và gia đình,3
Đi ăn cùng con trai,3
Đi ăn cùng gia đình,3
Đi ăn cùng vợ,3
Đi ăn cùng với anh em,3
Đi ăn tối ở La Vela Hotel,3
Đi ăn tối với gia đình,3
Đi ăn với bạn,3
Đi ăn với gia đình,3
Đi cafe cùng người bạn của tui tại khách sạn,3
Đi chơi,3
Đi chơi kết hợp nghỉ dưỡng,3
Đi chơi với bạn bè của tôi,3
Đi công tác,3
Đi du lịch cùng bạn bè.,3
Đi du lịch cùng công ty,3
Đi du lịch ngắm cảnh nghỉ dưỡng,3
Đi du lịch với người yêu,3
Đi dự hội nghị tại Vinpearl,3
Đi họp,3
Đi nghỉ dưỡng,3
Đi nghỉ dưỡng cùng gia đình,3
Đi tham quan,3
Đi thư giãn,3
Đi trải nghiệm,3
Đi uống cà phê ngắm cảnh,3
"Đọc đánh giá ở Agoda, nhưng rất hụt hẫng.",2
Góc đánh giá Vinpearl Hạ Long,3
Hẹn hò cùng bạn bè,3
Hẹn hò dành cho cặp đôi,3
Hẹn hò trưa,3
Hẹn hò với bạn trai của tôi,3
Hồ bơi và trà chiều,3
Hội ngộ nhóm bạn thân,3
Hội tụ bạn bè,3
"Huế bình yên ,thân thiện",3
Khách sạn cho du khách Trung Quốc hay gì á,2
Khách sạn gần gũi với thiên nhiên,3
Kì nghỉ 3 ngày 2 đêm,3
Kì nghỉ tết dương lịch,3
Kỳ nghỉ 3 đêm với gia đình,3
Kỳ nghỉ 4 ngày 3 đêm tại Villa 2 phòng ngủ,3
Kỳ nghỉ 8/3,3
Kỳ nghỉ ấm áp,3
Kỳ nghỉ ấn tượng,3
Kỳ nghỉ cặp đôi,3
Kỳ nghỉ cho con trai tại Vinpearl,3
Kỳ nghỉ của chúng tôi,3
Kỳ nghỉ của gia đình,3
Kỳ nghỉ cùng bạn bè,3
kỳ nghỉ cùng công ty,3
Kỳ nghỉ cùng công ty với nhiều trải nghiệm,3
Kỳ nghỉ cùng gia đình,3
Kỳ nghỉ cùng gia đình lúc mùa xuân,3
Kỳ nghỉ cùng gia đình tại Vinpearl Hạ long,3
Kỳ nghỉ cùng với tình yêu,3
Kỳ nghỉ cuối tuần,3
Kỳ nghỉ dịch thú vị,3
Kỳ nghỉ dưỡng,3
Kỳ nghỉ dưỡng cùng gia đình,3
kỳ nghỉ đáng lý là 7 đêm nhưng rút ngắn 3 đêm,3
Mưa và suối chảy róc rách,3
nghỉ dưỡng,3
nghỉ dưỡng cặp đôi,3
Nghỉ dưỡng cùng bạn bè,3
Nghỉ dưỡng cùng công ty,3
Nghỉ dưỡng cùng gia đình,3
Nghỉ dưỡng cùng gia đình nhỏ,3
Nghỉ dưỡng cùng gia đình và người thân,3
Nghỉ dưỡng cùng gia đình vui vẻ,3
Nghỉ dưỡng cùng người thân,3
Nghỉ dưỡng cuối hè,3
Nghỉ dưỡng cuối tuần,3
Nghỉ dưỡng gia đình,3
Nghỉ dưỡng mùa hè,3
nghỉ dưỡng ở khu resort 5 sao,3
Nghỉ dưỡng ở Vinpearl,3
Nghỉ dưỡng phù hợp,3
Nghỉ dưỡng rất vui ở vinpearl,3
Nghỉ dưỡng tại Vinwonder cùng người thân,3
Nghỉ dưỡng team building,3
nghỉ dưỡng và vui chơi,3
Nghỉ dưỡng vinpearl,3
Nghỉ dưỡng với bạn bè,3
Nghỉ dưỡng với gia đình,3
Nghỉ hè cùng gia đình,3
Nghỉ hè muộn của bọn trẻ con,3
Nghỉ lễ cùng gia đình tại Vinpearl,3
Nghỉ lễ vui vẻ,3
Nghỉ ngắn hạn dịp sinh nhật người thân gia đình,3
nhớ kiểm tra nước bánh khi nhận phòng,3
Phòng tiêu chuẩn 3 sao,3
Tiệc năm mới,3
Tiệc sinh nhật,3
Tiệc sinh nhật cùng bạn bè,3
Trải nghiệm bình thường,3
Trải nghiệm cùng bạn bè,3
Trải nghiệm cùng hội chị em xinh đẹp,3
Trải nghiệm cuối tuần,3
Trải nghiệm dịch vụ,3
Trải nghiệm về kỳ nghỉ dưỡng tại Amiana,3
Trung bình,3
Vệ sinh,3
Vệ sinh resort,3
Tạm ổn,4
Tàm tạm,4
tạm được,4
1 chuyến đi tuyệt vời,5
1 chuyến nghỉ dưỡng xứng đáng,5
1 chuyến trải nghiệm tuyệt vời cùng gia đình tại Vinpearl Nha Trang Bay,5
1 khu resort đẹp và yên tĩnh,5
1 kỳ nghỉ đáng nhớ,5
1 kỳ nghỉ thú vị,5
1 kỳ nghỉ tuyệt vời,5
1 nơi lý tưởng cho chuyến du lịch dành cho 2 người,5
1 nơi tuyệt vời để nghỉ ngơi,5
1 sự trải nghiệm tuyệt vời,5
1 trải nghiệm trên cả tuyệt vời,5
10 điểm,5
10 điểm chất lượng,5
10 điểm cho chất lượng và dịch vụ.,5
10 điểm cho sự hoàn hảo,5
10 điểm không có nhưng,5
10/10 sẽ quay lại,5
2 ngày 1 đêm ổn,5
"2 ngày 1 đêm, chuyến đi một mình, tận hưởng trọn vẹn nhất",5
2 người đi thư giãn,5
2 trong Top khách sạn 3 sao nên ở nhất tại Đà Nẵng - hãy phát huy,5
3 ngày 2 đêm cho chuyến đi Tuần trăng mật tuyệt vời,5
"3 ngày 2 đêm giá hơn 10 triệu cho 2 vợ chồng với 2 em bé,ăn uống,đi chơi mọi dịch vụ miễn phí",5
5 sao,5
5 sao cho dịch vụ tại vinpearl,5
5 sao mà chưa 5 sao,5
5 sao nha,5
"6 đêm ở Terracotta, chỉ địa điểm và đồ ăn là mình thấy hợp lý.",5
6 sao và hơn thế nữa,5
999 like cho Navada,5
Amiana - Một trải nghiệm tuyệt vời,5
"Amiana đáng yêu, thân thiện",5
AMIANA Nơi nghỉ dưỡng tuyệt vời,5
Amiana Resort Nha Trang - một địa điểm rất đáng để quay lại.,5
Amiana resort Nha Trang là một resort đẹp và chất lượng.,5
"Amiana Resort Nha Trang, điểm đến tuyệt vời",5
"Amiana tuyệt vời,gia đình mình sẽ quay lại.",5
Amiana- Điểm 10 cho chất lượng,5
Ăn một bữa tối tuyệt vời tại nhà hàng,5
Ăn sáng ngon,5
"ăn sáng ngon, nhân viên dễ thương, nhiệt tình",5
"Ăn sáng ngon, nhân viên nhiệt tình.",5
"Ăn tại nhà hàng mermaid buổi sáng ngày 16/11, nhân viên rất nhiệt tình vui vẻ, niềm nở, tôi rất vui khi hàng",5
"Ăn trưa tại nhà hàng mermaid khách sạn La vela , phục vụ rất nhiệt tình vui vẻ",5
"Ấm áp, tiện nghi",5
Ấn tượng,5
Ấn tượng khó phai,5
Ấn tượng Mường Thanh,4
Ấn tượng nhân viên,4
Ấn tượng tốt,5
Ấn tượng về không gian khu resort,4
Ấn tượng với mọi thứ trong khách sạn,4
Bãi biển cực đẹp trước khách sạn,4
Bãi biển riêng không đẹp lắm nhưng mọi thứ đều ổn,4
Bãi biển riêng rất đẹp,5
Bãi biển thật đẹp,5
Bãi biển tuyệt đẹp,5
Bạn lễ tân nhiệt tình,5
Bạn sẽ không hối tiếc khi chọn nơi này,5
"bất ngờ ,nhân viên nhiệt tình,thân thiện,thức ăn ngon view đẹp ngắm toàn thành phố",5
Bể bơi nước ấm mùa đông,5
Bể bơi tốt,5
"Biển đẹp, Thức ăn ngon, Thái độ phục vụ tốt.",5
"Biển và hồ bơi rất đẹp, dịch vụ tắm bùn thú vị",5
Biệt thự cổ trên đồi thông lãng mạn,5
Biệt thự dễ thương,5
Biệt thự nhẹ nhàng yên tĩnh đầy hoa,5
Biệt thự sát biển thật đẹp,5
Bình yên,4
Bình yên chim hót,4
Bình yên giữa trung tâm thành phố,5
Bộ phận lễ tân làm thủ tục và hỗ trợ nhanh chóng,5
Bố trí đẹp và phòng tiện nghi,5
Buffet dimsum tuyệt vời cùng gia đình,5
Buffet đa dạng món,5
Buffet đầy ý nghĩa,5
Buffet Hải sản ngon miệng,5
Buffet hải sản và hơn thế nữa,5
Buffet ngon hải sản tươi,5
buffet tối ngon miệng,5
Buffet tối tuyệt vời,5
Bungalow đẹp đã cứu tất cả những nhược điểm,4
Bungalow gia đình tuyệt vời,5
"Bungalow sạch sẽ, rộng, view vườn rất đẹp",5
Buổi ăn tối cuối tuần tuyệt vời ở nhà hàng buffet hải sản,5
Buổi tối thú vị,5
Buổi tối tuyệt vời,5
"Buổi tối tuyệt vời, vui vẻ và chất lượng",5
buổi trưa đáng giá,5
Buổi trưa ngon miệng,5
buổi trưa tuyệt vời,5
bữa ăn ngon,5
Bữa ăn ngon và chất lượng,5
Bữa ăn sinh nhật cùng gia đình,5
Bữa ăn tuyệt vời tại nhà hàng,5
Bữa sáng ngon miệng,5
Bữa sáng trong mơ,5
Bữa sáng tuyệt vời,5
Bữa sáng tuyệt vời tại Sheraton,5
Bữa Sinh Nhật đáng nhớ dành cho Mẹ của tôi,5
Bữa tiệc đáng nhớ tại Nhà hàng Hải sản,5
Bữa tiệc sinh nhật đáng nhớ,5
Bữa tiệc tuyệt vời,5
Bữa tối lãng mạn,5
Bữa tối ngon miệng,5
Bữa tối rất tuyệt vời,5
Bữa trưa quá tuyệt vời,5
Bữa trưa thật tuyệt vời,5
Bữa trưa tuyệt vời cùng gia đình tại La vela,5
Bữa trưa xuất sắc,5
Bữa trưa ý nghĩa cùng bạn tôi,5
Bữa trưa ý nghĩa cùng gia đình,5
Cà phê ngon,5
Cà phê ngon nhất trong thị trấn,5
"Cà phê ngon, khách sạn đẹp",5
"Các bạn nhân viên rất chu đáo, nhiệt tình và vui vẻ",5
Các nhân viên thật tuyệt vời,5
Cách ly rất tốt ở khách sạn này,5
Cafe bên cạnh bể bơi rất tuyệt,5
Cái gì cũng tốt,5
Cái nhìn đầu tiên tuyệt vời,5
cảm giác bất ngờ,5
Cám ơn bạn tuyền và huyền đã hỗ trợ gia đình chúng tôi rất nhiều,4
"Cảm ơn khách sạn, gia đình tôi đã có kỳ nghỉ tuyệt vời ở đây.",5
Cảm ơn nhân viên vinpearl đã cho tôi cảm giác thân quen đến vậy.,5
Cảm ơn rất nhiều,4
Cảm ơn sự nhiệt tình,4
Cảm ơn tất cả mọi người,4
"Cảm ơn vì đã hỗ trợ chúng em chuyến đi này, tuyệt vời lắm ạ",5
Cảm thấy hài lòng,5
Cảm thấy rất hài lòng về món ăn lẫn địa điểm ăn rất đẹp và lịch sự,5
